PARAM,AVG_TIME,RUN,FAILED
1,195.25,1,0
1,151.57,2,0
1,143.74,3,0
10,328.13,1,0
10,317.70,2,0
10,341.63,3,0
20,436.57,1,0
20,465.93,2,0
20,475.45,3,0
50,866.18,1,0
50,854.01,2,0
50,838.17,3,0
100,1150.41,1,0
100,1036.51,2,0
100,1133.92,3,0
1000,1581.73,1,0
1000,1541.55,2,0
1000,1459.73,3,0
