PARAM,RUN,AVG_TIME,FAILED
1,1,0.203,0
1,2,0.196,0
1,3,0.157,0
10,1,0.494,0
10,2,0.542,0
10,3,0.400,0
20,1,4.745,0
20,2,0.505,0
20,3,0.535,0
50,1,0.999,0
50,2,1.022,0
50,3,0.472,0
100,1,1.378,0
100,2,2.127,0
100,3,1.415,0
1000,1,1.761,1
1000,2,1.733,1
1000,3,2.317,1
