PARAM,RUN,AVG_TIME,FAILED
10,1,2.579,1
10,2,0.932,0
10,3,0.359,1
50,1,0.796,0
50,2,0.908,0
50,3,0.339,1
100,1,0.599,0
100,2,0.907,0
100,3,0.859,0
